,AddressInfo,OperatorInfo,latitude,longitude
503,"{'ID': 4133, 'Title': 'Glyn Hopkin Nissan', 'AddressLine1': '1 Cartersfield Road', 'AddressLine2': None, 'Town': 'Waltham Abbey', 'StateOrProvince': 'Hertfordshire', 'Postcode': 'EN9 1JD', 'CountryID': 1, 'Country': {'ID': 1, 'Title': 'United Kingdom', 'ISOCode': 'GB', 'ContinentCode': 'EU'}, 'Latitude': 51.682560967073, 'Longitude': 0.001115798950195, 'ContactTelephone1': '01992 809883', 'ContactTelephone2': None, 'ContactEmail': None, 'AccessComments': 'To right of main dealership building, bays for EV charging clearly marked, but often ICEd', 'RelatedURL': 'http://www.glynhopkin.com/contact-us/13/nissan-waltham-abbey', 'Distance': None, 'DistanceUnit': 0, 'GeneralComments': None}","{'ID': 7, 'Title': 'Nissan UK Dealer Network', 'WebsiteURL': 'http://www.nissan.co.uk', 'Comments': 'Network of franchised Nissan Dealers', 'PhonePrimaryContact': None, 'PhoneSecondaryContact': None, 'IsPrivateIndividual': False, 'AddressInfo': None, 'BookingURL': None, 'ContactEmail': None, 'FaultReportEmail': None, 'IsRestrictedEdit': None}",51.682560967073,0.001115798950195
547,"{'ID': 4359, 'Title': 'Masterpark Pimlico Car Park', 'AddressLine1': 'Cumberland Street', 'AddressLine2': 'Westminster', 'Town': 'London', 'StateOrProvince': None, 'Postcode': 'SW1V 4LS', 'CountryID': 1, 'Country': {'ID': 1, 'Title': 'United Kingdom', 'ISOCode': 'GB', 'ContinentCode': 'EU'}, 'Latitude': 51.488485, 'Longitude': -0.143428, 'ContactTelephone1': '020 7402 5916', 'ContactTelephone2': None, 'ContactEmail': None, 'AccessComments': None, 'RelatedURL': None, 'Distance': None, 'DistanceUnit': 0, 'GeneralComments': None}","{'ID': 1, 'Title': '(Unknown Operator)', 'WebsiteURL': None, 'Comments': None, 'PhonePrimaryContact': None, 'PhoneSecondaryContact': None, 'IsPrivateIndividual': None, 'AddressInfo': None, 'BookingURL': None, 'ContactEmail': None, 'FaultReportEmail': None, 'IsRestrictedEdit': None}",51.488485,-0.143428
548,"{'ID': 4363, 'Title': 'Vincent Square', 'AddressLine1': 'Vincent Square', 'AddressLine2': 'Westminster', 'Town': 'London', 'StateOrProvince': None, 'Postcode': 'SW1P 1DH', 'CountryID': 1, 'Country': {'ID': 1, 'Title': 'United Kingdom', 'ISOCode': 'GB', 'ContinentCode': 'EU'}, 'Latitude': 51.493841, 'Longitude': -0.13417199999999999, 'ContactTelephone1': None, 'ContactTelephone2': None, 'ContactEmail': None, 'AccessComments': None, 'RelatedURL': None, 'Distance': None, 'DistanceUnit': 0, 'GeneralComments': None}","{'ID': 1, 'Title': '(Unknown Operator)', 'WebsiteURL': None, 'Comments': None, 'PhonePrimaryContact': None, 'PhoneSecondaryContact': None, 'IsPrivateIndividual': None, 'AddressInfo': None, 'BookingURL': None, 'ContactEmail': None, 'FaultReportEmail': None, 'IsRestrictedEdit': None}",51.493841,-0.13417199999999999
549,"{'ID': 4364, 'Title': 'Francis Street', 'AddressLine1': 'Francis Street', 'AddressLine2': 'Westminster', 'Town': 'London', 'StateOrProvince': None, 'Postcode': 'SW1P 1DH', 'CountryID': 1, 'Country': {'ID': 1, 'Title': 'United Kingdom', 'ISOCode': 'GB', 'ContinentCode': 'EU'}, 'Latitude': 51.4958859300661, 'Longitude': -0.137344320098911, 'ContactTelephone1': None, 'ContactTelephone2': None, 'ContactEmail': None, 'AccessComments': None, 'RelatedURL': None, 'Distance': None, 'DistanceUnit': 0, 'GeneralComments': None}","{'ID': 32, 'Title': 'BP Pulse', 'WebsiteURL': 'https://www.bppulse.co.uk/', 'Comments': 'Formerly known as Polar Network, or BP Chargemaster', 'PhonePrimaryContact': '01582 400331', 'PhoneSecondaryContact': None, 'IsPrivateIndividual': False, 'AddressInfo': None, 'BookingURL': None, 'ContactEmail': 'polarenquiries@chargemasterplc.com', 'FaultReportEmail': 'polarenquiries@chargemasterplc.com', 'IsRestrictedEdit': False}",51.4958859300661,-0.137344320098911
550,"{'ID': 4367, 'Title': 'NCP Cadogan Place', 'AddressLine1': 'Cadogan Place', 'AddressLine2': 'Kensington and Chelsea', 'Town': 'London', 'StateOrProvince': None, 'Postcode': 'SW1X 9SA', 'CountryID': 1, 'Country': {'ID': 1, 'Title': 'United Kingdom', 'ISOCode': 'GB', 'ContinentCode': 'EU'}, 'Latitude': 51.49637, 'Longitude': -0.157076, 'ContactTelephone1': None, 'ContactTelephone2': None, 'ContactEmail': None, 'AccessComments': None, 'RelatedURL': None, 'Distance': None, 'DistanceUnit': 0, 'GeneralComments': None}","{'ID': 32, 'Title': 'BP Pulse', 'WebsiteURL': 'https://www.bppulse.co.uk/', 'Comments': 'Formerly known as Polar Network, or BP Chargemaster', 'PhonePrimaryContact': '01582 400331', 'PhoneSecondaryContact': None, 'IsPrivateIndividual': False, 'AddressInfo': None, 'BookingURL': None, 'ContactEmail': 'polarenquiries@chargemasterplc.com', 'FaultReportEmail': 'polarenquiries@chargemasterplc.com', 'IsRestrictedEdit': False}",51.49637,-0.157076
551,"{'ID': 4369, 'Title': 'Masterpark Abingdon Car Park', 'AddressLine1': 'Great College Street', 'AddressLine2': 'Westminster', 'Town': 'London', 'StateOrProvince': None, 'Postcode': 'SW1P 3RX', 'CountryID': 1, 'Country': {'ID': 1, 'Title': 'United Kingdom', 'ISOCode': 'GB', 'ContinentCode': 'EU'}, 'Latitude': 51.497528, 'Longitude': -0.127409, 'ContactTelephone1': '020 7402 5916', 'ContactTelephone2': None, 'ContactEmail': None, 'AccessComments': None, 'RelatedURL': None, 'Distance': None, 'DistanceUnit': 0, 'GeneralComments': None}","{'ID': 1, 'Title': '(Unknown Operator)', 'WebsiteURL': None, 'Comments': None, 'PhonePrimaryContact': None, 'PhoneSecondaryContact': None, 'IsPrivateIndividual': None, 'AddressInfo': None, 'BookingURL': None, 'ContactEmail': None, 'FaultReportEmail': None, 'IsRestrictedEdit': None}",51.497528,-0.127409
552,"{'ID': 4372, 'Title': 'NCP Pavillion Road', 'AddressLine1': '28 Pavillion Road', 'AddressLine2': 'Kensington and Chelsea', 'Town': 'London', 'StateOrProvince': None, 'Postcode': 'SW1X 0HH', 'CountryID': 1, 'Country': {'ID': 1, 'Title': 'United Kingdom', 'ISOCode': 'GB', 'ContinentCode': 'EU'}, 'Latitude': 51.499846, 'Longitude': -0.160826, 'ContactTelephone1': None, 'ContactTelephone2': None, 'ContactEmail': None, 'AccessComments': None, 'RelatedURL': None, 'Distance': None, 'DistanceUnit': 0, 'GeneralComments': None}","{'ID': 1, 'Title': '(Unknown Operator)', 'WebsiteURL': None, 'Comments': None, 'PhonePrimaryContact': None, 'PhoneSecondaryContact': None, 'IsPrivateIndividual': None, 'AddressInfo': None, 'BookingURL': None, 'ContactEmail': None, 'FaultReportEmail': None, 'IsRestrictedEdit': None}",51.499846,-0.160826
553,"{'ID': 4373, 'Title': 'Masterpark Knightsbridge Car Park', 'AddressLine1': 'Kinnerton Street', 'AddressLine2': 'Westminster', 'Town': 'London', 'StateOrProvince': None, 'Postcode': 'SW1X 8JU', 'CountryID': 1, 'Country': {'ID': 1, 'Title': 'United Kingdom', 'ISOCode': 'GB', 'ContinentCode': 'EU'}, 'Latitude': 51.500635, 'Longitude': -0.156616, 'ContactTelephone1': '020 7402 5916', 'ContactTelephone2': None, 'ContactEmail': None, 'AccessComments': None, 'RelatedURL': None, 'Distance': None, 'DistanceUnit': 0, 'GeneralComments': None}","{'ID': 1, 'Title': '(Unknown Operator)', 'WebsiteURL': None, 'Comments': None, 'PhonePrimaryContact': None, 'PhoneSecondaryContact': None, 'IsPrivateIndividual': None, 'AddressInfo': None, 'BookingURL': None, 'ContactEmail': None, 'FaultReportEmail': None, 'IsRestrictedEdit': None}",51.500635,-0.156616
554,"{'ID': 4377, 'Title': '76 Upper Ground', 'AddressLine1': 'Waterloo', 'AddressLine2': 'Lambeth', 'Town': 'London', 'StateOrProvince': None, 'Postcode': 'SE1 9PP', 'CountryID': 1, 'Country': {'ID': 1, 'Title': 'United Kingdom', 'ISOCode': 'GB', 'ContinentCode': 'EU'}, 'Latitude': 51.5068393098305, 'Longitude': -0.11193394660949701, 'ContactTelephone1': None, 'ContactTelephone2': None, 'ContactEmail': None, 'AccessComments': 'Outside IBM. Max stay 3 hours while charging', 'RelatedURL': None, 'Distance': None, 'DistanceUnit': 0, 'GeneralComments': None}","{'ID': 3, 'Title': 'POD Point (UK)', 'WebsiteURL': 'http://www.pod-point.com/', 'Comments': 'Part of Groupe EDF', 'PhonePrimaryContact': '020 7247 4114', 'PhoneSecondaryContact': None, 'IsPrivateIndividual': False, 'AddressInfo': None, 'BookingURL': None, 'ContactEmail': 'enquiries@pod-point.com', 'FaultReportEmail': 'enquiries@pod-point.com', 'IsRestrictedEdit': False}",51.5068393098305,-0.11193394660949701
555,"{'ID': 4378, 'Title': 'Concert Hall Approach', 'AddressLine1': 'Waterloo', 'AddressLine2': 'Lambeth', 'Town': 'London', 'StateOrProvince': None, 'Postcode': 'SE1 8XU', 'CountryID': 1, 'Country': {'ID': 1, 'Title': 'United Kingdom', 'ISOCode': 'GB', 'ContinentCode': 'EU'}, 'Latitude': 51.5046021734341, 'Longitude': -0.114712715148926, 'ContactTelephone1': '01273 704775', 'ContactTelephone2': None, 'ContactEmail': None, 'AccessComments': None, 'RelatedURL': None, 'Distance': None, 'DistanceUnit': 0, 'GeneralComments': None}","{'ID': 25, 'Title': 'Source London', 'WebsiteURL': 'http://www.sourcelondon.net/', 'Comments': 'Monthly post-payment membership system, with per-minute billing and optional lower tariffs in return for monthly subscription payment.', 'PhonePrimaryContact': None, 'PhoneSecondaryContact': None, 'IsPrivateIndividual': False, 'AddressInfo': None, 'BookingURL': 'https://www.sourcelondon.net/membership', 'ContactEmail': 'membership@sourcelondon.net', 'FaultReportEmail': 'membership@sourcelondon.net', 'IsRestrictedEdit': False}",51.5046021734341,-0.114712715148926
